status	ID	accession_number	site_ID	ocean	location	site	lat_long	date_collected	collection_ID	raw lat long	collector	permit
high quality	WAMZ97907			E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 8	-31.855786, 115.751741	N. G. Wilson, N. Tatarnic	
high quality	WAMZ97908			E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 9	-31.855786, 115.751741	N. G. Wilson, N. Tatarnic	
high quality	WAMZ97910			E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 11	-31.855786, 115.751741	N. G. Wilson, N. Tatarnic	
high quality	WAMZ97911			E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 12	-31.855786, 115.751741	N. G. Wilson, N. Tatarnic	
high quality	WAMZ97914			E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 15	-31.855786, 115.751741	N. G. Wilson, N. Tatarnic	
high quality	WAMZ97916			E Indian	Western Australia	North Beach, Perth	-31.855786, 115.751741	4/19/2019	WA 17	-31.855786, 115.751741	N. G. Wilson, N. Tatarnic	
high quality	WAMZ97917			SW Pacific	New South Wales	North Steyne, Queenscliff Beach, Manly	-33.787002, 151.288609	1/18/2019	NSW n.1	-33.787002, 151.288609	N. Lo	
high quality	WAMZ97920			SW Pacific	New South Wales	La Perouse, Sydney	-33.987424, 151.231329	2/5/2018	NSW l.p.	-33.987424, 151.231329	Y. K. Tea	
high quality	WAMZ97921			SW Pacific	Queensland	Dicky Beach, Caloundra, Sunshine Coast	-26.784003, 153.140596	1/19/2019	1	-26.784003, 153.140596	G. Cobb	
high quality	WAMZ97923			SW Pacific	Queensland	Dicky Beach, Caloundra, Sunshine Coast	-26.784003, 153.140596	1/19/2019	QLD d.b3	-26.784003, 153.140596	G. Cobb	
high quality	YPM-IZ-104460			NW Pacific	Guam		13.427861, 144.798518	11/23/2018	Guam_104460	13.427861, 144.798518	David Burdick	Guam Department of Agriculture, Division of Aquatic and Wildlife Resources
high quality	YPM-IZ-104461			NW Pacific	Guam		13.427861, 144.798518	11/23/2018	Guam_104461	13.427861, 144.798518	David Burdick	Guam Department of Agriculture, Division of Aquatic and Wildlife Resources
high quality	YPM-IZ-104464			NW Pacific	Guam		13.427861, 144.798518	11/23/2018	Guam_104464	13.427861, 144.798518	David Burdick	Guam Department of Agriculture, Division of Aquatic and Wildlife Resources
high quality	YPM-IZ-104465			NW Pacific	Guam		13.427861, 144.798518	11/23/2018	Guam_104465	13.427861, 144.798518	David Burdick	Guam Department of Agriculture, Division of Aquatic and Wildlife Resources
high quality	YPM-IZ-106919			NW Pacific	Japan		35.307390, 139.480651	11/19/2020	Japan_2	35.307390, 139.480651	Gaku Yamamoto	
high quality	YPM-IZ-106920			NW Pacific	Japan		35.307390, 139.480651	11/19/2020	Japan_3	35.307390, 139.480651	Gaku Yamamoto	
high quality	YPM-IZ-106923			NW Pacific	Japan		35.307390, 139.480651	11/19/2020	Japan_6	35.307390, 139.480651	Gaku Yamamoto	
high quality	YPM-IZ-106935			Gulf of Mexico	Texas		29.19532, -94.8429383	3/2/2016	13_TX2016_043	-94.8429383,29.19532	Catriona Munro	
high quality	YPM-IZ-106936			Gulf of Mexico	Texas		29.19532, -94.8429383	3/3/2016	TX2016_046	-94.8429383,29.19532	Catriona Munro	
high quality	YPM-IZ-106937			Gulf of Mexico	Texas		29.19532, -94.8429383	3/3/2016	TX2016_048	-94.8429383,29.19532	Catriona Munro	
